name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
Taylor and Turk streets,5392283402503280394,restroom,0,0,0,0,37.7832058,-122.4108252,pit_stop,POINT (-122.4108252 37.7832058),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,,20,5,10
Mission Dolores Park,4639117197814467839,restroom,0,0,0,0,37.76079073,-122.42773624,rec,POINT (-122.42773624 37.76079073),8,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5,213,37,3,5
Merced Heights Playground,5714191605765301439,drinking_water,1,0,0,0,37.71747646,-122.47037098,rec,POINT (-122.47037098 37.71747646),11,Oceanview/Merced/Ingleside,2023-03-08,2023-03-08T15:29:00Z,24,138,65,10,1
Noe Valley Courts,7029988507837525942,drinking_water,1,0,0,0,37.75145174,-122.43893273,rec,POINT (-122.43893273 37.75145174),8,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22,132,51,3,5
Golden Gate Park - Section 7,7708155196457707211,restroom,0,0,0,0,37.76853064,-122.46536326,rec,POINT (-122.46536326 37.76853064),7,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,228,9,8,11
Market and Castro streets (JCDecaux),4729745566184377685,restroom,0,0,0,0,37.7627732,-122.4348053,pit_stop,POINT (-122.4348053 37.7627732),8,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5,,38,3,5
South Beach Harbor,5535662967239792186,drinking_water,1,1,0,1,37.7803467,-122.3877,port,POINT (-122.3877 37.7803467),6,Mission Bay,2023-03-08,2023-03-08T15:29:00Z,4,,31,1,10
John McLaren Park,4276690586920497721,drinking_water,1,0,0,0,37.71923463,-122.4128197,rec,POINT (-122.4128197 37.71923463),9,McLaren Park,2023-03-08,2023-03-08T15:29:00Z,19,7,73,9,2
Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.76698614,-122.45331627,rec,POINT (-122.45331627 37.76698614),5,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,229,9,7,11
Yacht Harbor and Marina Green,7761910724686902864,restroom,0,0,0,0,37.80660485,-122.44271638,rec,POINT (-122.44271638 37.80660485),,Marina,2023-03-08,2023-03-08T15:29:00Z,13,90,17,4,6
Sunnyside Playground,8135329547080825432,drinking_water,1,0,0,0,37.73385133,-122.44818601,rec,POINT (-122.44818601 37.73385133),7,West of Twin Peaks,2023-03-08,2023-03-08T15:29:00Z,41,222,95,9,8
Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.76828383,-122.45470498,rec,POINT (-122.45470498 37.76828383),5,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,229,9,7,11
Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76453033,-122.50498243,rec,POINT (-122.50498243 37.76453033),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,234,9,8,4
Mountain Lake Park,4251616439565783958,drinking_water,1,0,0,0,37.78685001,-122.47041585,rec,POINT (-122.47041585 37.78685001),1,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11,134,4,,6
John McLaren Park,4276690586920497721,restroom,0,0,0,0,37.7208576,-122.41690725,rec,POINT (-122.41690725 37.7208576),9,McLaren Park,2023-03-08,2023-03-08T15:29:00Z,19,7,73,9,2
John McLaren Park,4276690586920497721,drinking_water,1,0,0,0,37.72215034,-122.42056088,rec,POINT (-122.42056088 37.72215034),9,McLaren Park,2023-03-08,2023-03-08T15:29:00Z,19,7,73,9,2
Betty Ann Ong Chinese Rec Center,5717379400426049330,drinking_water,1,0,0,0,37.79436892,-122.41183784,rec,POINT (-122.41183784 37.79436892),3,Nob Hill,2023-03-08,2023-03-08T15:29:00Z,21,155,16,6,3
DuPont Tennis Courts,3112532211757124214,drinking_water,1,0,0,0,37.78285733,-122.49082809,rec,POINT (-122.49082809 37.78285733),1,Outer Richmond,2023-03-08,2023-03-08T15:29:00Z,29,207,8,8,4
