,name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
81,Adam Rodgers Park,1080250236324111795,restroom,0,0,0,0,37.73087893,-122.38372074,rec,POINT (-122.38372074 37.73087893),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,146.0,86.0,2.0,9.0
82,Myrtle and Larkin streets (JCDecaux),2036881255296904282,restroom,0,0,0,0,37.7855716,-122.4180901,pit_stop,POINT (-122.4180901 37.7855716),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,113.0,20.0,5.0,10.0
83,Alice Chalmers Playground,3141016569795048395,drinking_water,1,0,0,0,37.70975093,-122.44677245,rec,POINT (-122.44677245 37.70975093),11.0,Excelsior,2023-03-08,2023-03-08T15:29:00Z,7.0,68.0,58.0,9.0,1.0
84,Raymond Kimball Playground,4398727798151847140,drinking_water,1,0,0,0,37.78248303,-122.43557489,rec,POINT (-122.43557489 37.78248303),5.0,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39.0,123.0,97.0,4.0,11.0
85,Telegraph Hill - Pioneer Park,4319864457267319582,drinking_water,1,0,0,0,37.80226523,-122.40593129,rec,POINT (-122.40593129 37.80226523),3.0,North Beach,2023-03-08,2023-03-08T15:29:00Z,23.0,227.0,18.0,6.0,3.0
86,Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.72924873,-122.40980624,rec,POINT (-122.40980624 37.72924873),9.0,Portola,2023-03-08,2023-03-08T15:29:00Z,25.0,130.0,91.0,2.0,2.0
87,Pier 7,8096256367090940691,drinking_water,1,1,0,0,37.79897,-122.39703,port,POINT (-122.39703 37.79897),3.0,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8.0,,77.0,6.0,3.0
88,Golden Gate Park - Section 4,6170016268480192283,restroom,0,0,0,0,37.76637374,-122.47668262,rec,POINT (-122.47668262 37.76637374),7.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,232.0,9.0,8.0,4.0
89,John McLaren Park,4276690586920497721,restroom,0,0,0,0,37.71412965,-122.42327793,rec,POINT (-122.42327793 37.71412965),10.0,McLaren Park,2023-03-08,2023-03-08T15:29:00Z,19.0,7.0,73.0,9.0,9.0
90,Grattan Playground,1042787867992739246,drinking_water,1,0,0,0,37.76261499,-122.45168928,rec,POINT (-122.45168928 37.76261499),8.0,Haight Ashbury,2023-03-08,2023-03-08T15:29:00Z,3.0,172.0,114.0,7.0,11.0
91,Duboce Park,8886716724462518672,drinking_water,1,0,0,0,37.76940827,-122.43347772,rec,POINT (-122.43347772 37.76940827),8.0,Haight Ashbury,2023-03-08,2023-03-08T15:29:00Z,3.0,159.0,28.0,7.0,5.0
92,Margaret S.Hayward Playground,6183247756522780021,restroom,0,0,0,0,37.78074365,-122.42668916,rec,POINT (-122.42668916 37.78074365),5.0,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39.0,140.0,100.0,4.0,11.0
93,Patricia's Green in Hayes Valley,3361452970464656774,drinking_water,1,0,0,0,37.77594165,-122.42444106,rec,POINT (-122.42444106 37.77594165),5.0,Hayes Valley,2023-03-08,2023-03-08T15:29:00Z,9.0,189.0,22.0,4.0,11.0
94,Yacht Harbor and Marina Green,7761910724686902864,restroom,0,0,0,0,37.80664933,-122.44254125,rec,POINT (-122.44254125 37.80664933),,Marina,2023-03-08,2023-03-08T15:29:00Z,13.0,90.0,17.0,4.0,6.0
